Identifiant,Nom_Etablissement,Numero_SIRET,Adresse,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr
068.11539,Carrières BERNADETS - ISDI,54608016900115,,31420,AURIGNAC,HAUTE-GARONNE,OCCITANIE,481659,1802490,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
061.10406,REVAGA,51058711600037,,69390,MILLERY,RHONE,AUVERGNE-RHONE-ALPES,790678,2073093,3811Z,Collecte des déchets non dangereux,,
124.00155,SATE,42976802100025,,90150,FONTAINE,TERRITOIRE-DE-BELFORT,BOURGOGNE-FRANCHE-COMTE,949818,2305514,2751Z,Fabrication d'appareils électroménagers,,
061.08347,GRTgaz - Station de Compression de St AVIT,44011762001571,,26330,CHATEAUNEUF-DE-GALAURE,DROME,AUVERGNE-RHONE-ALPES,805789,2028946,4950Z,Transports par conduites,,
061.10271,FONDEX SAS,60562013700030,,74302,CLUSES,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,928249,2126191,2550B,"Découpage, emboutissage",,
061.14811,S.A.D.E.T. - MENAIS - ISDI,79648048100020,,74380,ARTHAZ-PONT-NOTRE-DAME,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,904864,2136374,4312A,Travaux de terrassement courants et travaux préparatoires,,
063.00337,PIGEON GRANULATS LOIRE-ANJOU,38418359600079,,49500,NYOISEAU,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,356100,2307025,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
066.00374,ACCI AUTO,52203733200023,,11800,TREBES,AUDE,OCCITANIE,608767,1800861,4520A,Entretien et réparation de véhicules automobiles légers,,
068.06166,SARL ETS VIU,37852819400012,13 Avenue de Gounon,32800,EAUZE,GERS,OCCITANIE,420134,1875638,3831Z,Démantèlement d'épaves,,
562.00812,TRANNIN,41231812300012,,62118,HAMBLAIN-LES-PRES,PAS-DE-CALAIS,HAUTS-DE-FRANCE,644611,2588958,0146Z,Élevage de porcins,,
059.06317,CAGB,24250036100017,,25000,BESANCON,DOUBS,BOURGOGNE-FRANCHE-COMTE,879000,2256000,8411Z,Administration publique générale,,
068.06197,SARL CASS AUTO VG,53436249600018,,81160,SAINT-JUERY,TARN,OCCITANIE,589800,1883000,4532Z,Commerce de détail d'équipements automobiles,,
070.02619,GHESQUIERES,46450058600027,,59260,LEZENNES,NORD,HAUTS-DE-FRANCE,655324,2625072,1723Z,Fabrication d'articles de papeterie,,
100.04588,XPO SUPPLY CHAIN FRANCE,37899289500821,,45760,BOIGNY-SUR-BIONNE,LOIRET,CENTRE,576633,2324796,4941B,Transports routiers de fret de proximité,,
056.03216,COMMUNE DE CESSET - ISDI,21030049700018,,03500,CESSET,ALLIER,AUVERGNE-RHONE-ALPES,667700,2144200,8411Z,Administration publique générale,,
059.06557,GBCA (ISDI),20006905200096,,90700,CHATENOIS-LES-FORGES,TERRITOIRE-DE-BELFORT,BOURGOGNE-FRANCHE-COMTE,939400,2294100,3821Z,Traitement et élimination des déchets non dangereux,,
535.01906,COOPERL ARC ATLANTIQUE,38398687400030,,35160,MONTFORT-SUR-MEU,ILLE-ET-VILAINE,BRETAGNE,280831,2357430,1011Z,Transformation et conservation de la viande de boucherie,,
562.01296,LECHERF (GAEC de la Sapinière),33058107500018,,62130,OEUF-EN-TERNOIS,PAS-DE-CALAIS,HAUTS-DE-FRANCE,591200,2596100,0150Z,Culture et élevage associés,,
058.05695,TOTAL RECHERCHE ET TECHNOLOGIE GONFREVILLE (TRTG),69200480700065,,76700,HARFLEUR,SEINE-MARITIME,NORMANDIE,444626,2502548,7112B,"Ingénierie, études techniques",,
066.02540,Environnement Massif Central,41436917300037,,48000,MENDE,LOZERE,OCCITANIE,692207,1947037,3832Z,Récupération de déchets triés,,
106.00770,SAS Munoz (Pressensé),31300214900026,,69200,VENISSIEUX,RHONE,AUVERGNE-RHONE-ALPES,797826,2081633,3811Z,Collecte des déchets non dangereux,,
068.02264,COMAU France,32870500900111,,81104,CASTRES,TARN,OCCITANIE,591915,1844908,2841Z,Fabrication de machines-outils pour le travail des métaux,,
